rows,fd_time_sec_cum,aad_time_sec_cum,wall_time_sec_cum
3490000,38317.166045,12920.604643,68165.713291
3500000,38426.544895,12957.499022,68360.524066
3510000,38537.867349,12994.867347,68560.889511
3520000,38647.257315,13031.808610,68754.766637
3530000,38756.236193,13068.680696,68948.020123
3540000,38865.326078,13105.596690,69141.459342
3550000,38974.570021,13142.531258,69335.242519
3560000,39083.884441,13179.459276,69529.136935
3570000,39193.423759,13216.398541,69723.823505
3580000,39302.754829,13253.308918,69918.105307
3590000,39412.079367,13290.231530,70112.983294
3600000,39521.638729,13327.178449,70308.457144
3610000,39631.071464,13364.118566,70503.725462
3620000,39740.537498,13401.075676,70697.771211
3630000,39849.955013,13438.022542,70891.879934
3640000,39959.430237,13474.981122,71086.420514
3650000,40068.849489,13511.934117,71280.798219
3660000,40178.541446,13548.910609,71475.684541
3670000,40287.922178,13585.836446,71670.792744
3680000,40397.342739,13622.749428,71865.978455
3690000,40508.074991,13659.913473,72063.509981
3700000,40617.488900,13696.821858,72258.281310
3710000,40726.903978,13733.742451,72453.593004
3720000,40836.369964,13770.680505,72647.481112
3730000,40946.010269,13807.662690,72841.924523
3740000,41055.495072,13844.628245,73036.458136
3750000,41166.856879,13882.017171,73235.733583
3760000,41276.278703,13918.977446,73429.951964
3770000,41385.657970,13955.962220,73623.905008
3780000,41495.106605,13992.956393,73817.921730
3790000,41604.702830,14029.981714,74012.162237
3800000,41714.170540,14066.950364,74206.341641
3810000,41823.366000,14103.891767,74401.343740
3820000,41932.677799,14140.851916,74595.280173
3830000,42042.071981,14177.827871,74789.389444
3840000,42151.547639,14214.814909,74983.674110
3850000,42261.005933,14251.813566,75178.257858
3860000,42370.265227,14288.752047,75373.221197
3870000,42479.819980,14325.722338,75568.660979
3880000,42590.516711,14362.979705,75766.938090
3890000,42700.072616,14399.933469,75961.966928
3900000,42809.778782,14436.924758,76157.253892
3910000,42919.407639,14473.925639,76353.521276
3920000,43028.563734,14510.836725,76547.329949
3930000,43137.889797,14547.759760,76741.209528
3940000,43247.473710,14584.756081,76936.052494
3950000,43356.685981,14621.671849,77130.235070
3960000,43466.088182,14658.611995,77325.213607
3970000,43577.425255,14696.012279,77525.207918
3980000,43686.786693,14732.941341,77719.562960
3990000,43795.878743,14769.832884,77913.236788
4000000,43905.090412,14806.756673,78106.695168
4010000,44014.332650,14843.697401,78302.299449
4020000,44123.751940,14880.693657,78496.599576
4030000,44233.013063,14917.660994,78690.662893
4040000,44342.370315,14954.627500,78884.921018
4050000,44451.573011,14991.588097,79078.852594
4060000,44561.657647,15028.702462,79274.849946
4070000,44671.349224,15065.699512,79470.044935
4080000,44780.831199,15102.683561,79664.549348
4090000,44890.157187,15139.635062,79859.157764
4100000,44999.599928,15176.582875,80054.249723
4110000,45108.959837,15213.529670,80249.469384
4120000,45218.516220,15250.515229,80443.992384
4130000,45327.954694,15287.469171,80638.166449
